Cell	Outgroup	Category
Cell1	no	A
Cell2	no	A
Cell3	no	A
Cell4	no	A
Cell5	no	A
Cell6	no	A
Cell7	no	A
Cell8	no	A
Cell9	no	A
Cell10	no	A
Cell11	no	A
Cell12	no	A
Cell13	no	A
Cell14	no	A
Cell15	no	A
Cell16	no	A
Cell17	no	A
Cell18	no	A
Cell19	no	A
Cell20	no	A
Cell21	no	A
Cell22	no	A
Cell23	no	A
Cell24	no	A
Cell25	no	A
Cell26	no	A
Cell27	no	A
Cell28	no	A
Cell29	no	A
Cell30	no	A
Cell31	no	A
Cell32	no	A
Cell33	no	A
Cell34	no	A
Cell35	no	A
Cell36	no	A
Cell37	no	A
Cell38	no	A
Cell39	no	A
Cell40	no	A
Cell41	no	A
Cell42	no	A
Cell43	no	A
Cell44	no	A
Cell45	no	A
Cell46	no	A
Cell47	no	A
Cell48	no	A
Cell49	no	A
Cell50	no	A
Cell51	no	A
Cell52	no	A
Cell53	no	A
Cell54	no	A
Cell55	no	A
Cell56	no	A
Cell57	no	A
Cell58	no	A
Cell59	no	A
Cell60	no	A
Cell61	no	A
Cell62	no	A
Cell63	no	A
Cell64	no	A
Cell65	no	A
Cell66	no	A
Cell67	no	A
Cell68	no	A
Cell69	no	A
Cell70	no	A
Cell71	no	A
Cell72	no	A
Cell73	no	A
Cell74	no	A
Cell75	no	A
Cell76	no	A
Cell77	no	A
Cell78	no	A
Cell79	no	A
Cell80	no	A
Cell81	no	A
Cell82	no	A
Cell83	no	A
Cell84	no	A
Cell85	no	A
Cell86	no	A
Cell87	no	A
Cell88	no	A
Cell89	no	A
Cell90	no	A
Cell91	no	A
Cell92	no	A
Cell93	no	A
Cell94	no	A
Cell95	no	A
Cell96	no	A
Cell97	no	A
Cell98	no	A
Cell99	no	A
Cell100	no	A
Cell101	no	A
Cell102	no	A
Cell103	no	A
Cell104	no	A
Cell105	no	A
Cell106	no	A
Cell107	no	A
Cell108	no	A
Cell109	no	A
Cell110	no	A
Cell111	no	A
Cell112	no	A
Cell113	no	A
Cell114	no	A
Cell115	no	A
Cell116	no	A
Cell117	no	A
Cell118	no	A
Cell119	no	A
Cell120	no	A
Cell121	no	A
Cell122	no	A
Cell123	no	A
Cell124	no	A
Cell125	no	A
Cell126	no	A
Cell127	no	A
