Index	Cell	Lineage	Branch Length	Height	Height 0.95 HPD Lo	Height 0.95 HPD Hi	Height Median	Height Range Lo	Height Range Hi	Length	Length 0.95 HPD Lo	Length 0.95 HPD Hi	Length Median	Length Range Lo	Length Range Hi	Posterior	Rate	Rate 0.95 HPD Lo	Rate 0.95 HPD Hi	Rate Median	Rate Range Lo	Rate Range Hi
1	Cell1	X.1.1.2.1.1.2.1	0.0911882612210789	2.20713668232174e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0950282690053341	0.0500164632288631	0.143769958638033	0.095208530869839	0.0121696594902203	0.173698361582368		1.01284458211253	0.57237072950459	1.4857005584656	0.982190506925425	0.458132019187563	2.1614830716402
2	Cell10	X.1.1.2.2.1.1	0.117715391250381	2.1350442781253e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.119031624716517	0.0676824104597866	0.169576751779812	0.116495491765611	0.0415304174588071	0.257978496904603		0.777818013213551	0.47267447600574	1.12467783141679	0.75028956147651	0.350720684195589	1.55808734167067
3	Cell11	X.1.1.2.2.2.1	0.103977407722371	2.10731643035744e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.10474303291253	0.066948262293574	0.152151122890389	0.103379797994109	0.0513709418632149	0.178631486174145		0.745937115108776	0.457815439189952	1.09261384369583	0.729598262105249	0.307165378000442	1.41234630379416
4	Cell12	X.1.2.1.1.1.1.1.1.2.1	0.0748839578578062	2.16554491066995e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0753463551843412	0.050340466910407	0.09859351210822	0.0747128766096274	0.0343795137367868	0.129640156636015		1.36437901809714	0.903376267033331	1.93516620926368	1.32525217897056	0.749558793867498	2.70061088085673
5	Cell13	X.1.2.1.2.1	0.121282780816403	2.1350442781253e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.112870709605918	0.031372658960281	0.152867724223336	0.1188472873739	0.00341685828415941	0.19094053631647		0.73851118831662	0.473087120391981	1.05214664745551	0.721597297289887	0.294768352523063	1.88107743153116
6	Cell14	X.1.2.2.2.2.1	0.0758756069774329	2.10454364558065e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0751312107468668	0.0387767456248724	0.115768327114289	0.0741785046458855	0.0212626672941179	0.152577705251022		0.685438198689384	0.350720684195589	1.03554844053582	0.664166419957371	0.291950925893274	1.63128640290693
7	Cell15	X.1.2.1.1.1.1.1.1.1	0.0875339558190788	2.14613541723245e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0876145353470969	0.0573680570217351	0.117683602124509	0.0866722605170022	0.0414251200110408	0.134527621156178		1.14784538436932	0.769670375850266	1.67931003063101	1.12457218265681	0.558266880193101	2.31252319883973
8	Cell16	X.1.1.2.2.2.2	0.103977407722371	2.10731643035744e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.104648785383993	0.0627152784440538	0.147891122701847	0.103379797994109	0.0513709418632149	0.190446083195152		0.929800791402359	0.562292596838924	1.33793924698123	0.904654858531948	0.505170016644152	1.86986198265593
9	Cell17	X.1.2.1.2.2.1	0.0885083259552608	2.19049997366102e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0863375423441836	0.0470194262685399	0.131586077520144	0.0869176941359981	0.00527281431606702	0.17932044616034		1.05378774501164	0.568636442383096	1.51516928552937	1.01492365909755	0.400555148198106	2.71670723179745
10	Cell18	X.1.2.2.2.1	0.121768453274442	2.19049997366102e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.111935819457682	0.0762526344754096	0.157390346343799	0.111758532523335	0.02396535442556	0.185992008844277		0.834238610392442	0.522064574928671	1.15217847291325	0.816616885317715	0.463183834527171	1.77282813891121
11	Cell19	X.1.2.1.1.1.1.1.2.1	0.072076007809591	2.12118035424137e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0720747142866025	0.0477555860999317	0.0982123060307496	0.0720426772874903	0.0328083357801421	0.111478953172694		1.09101616648658	0.700488082740762	1.57531954896313	1.06324467056411	0.501624096679707	2.2936745665062
12	Cell2	X.1.1.2.1.1.1	0.116477621035738	2.20159111276817e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.106516620487927	0.0564542342625372	0.15678630052579	0.107725667505121	0.0284156343348313	0.179850116158961		0.759895388726762	0.473051459811634	1.18444613316586	0.733139028798461	0.348994060250358	2.12881366382995
