Geneid,SRR6710256,SRR6710257,SRR6710258,SRR6710259,SRR6710260,SRR6710261,SRR6710262,SRR6710263,SRR6710264,SRR6710265,SRR6710266,SRR6710267,SRR6710268,SRR6710269,SRR6710270,SRR6710271,SRR6710272,SRR6710273,SRR6710274,SRR6710275,SRR6710276,SRR6710277,SRR6710278,SRR6710279,SRR6710280,SRR6710281,SRR6710282,SRR6710283,SRR6710284,SRR6710285,SRR6710286,SRR6710287,SRR6710288,SRR6710289,SRR6710290,SRR6710291,SRR6710292,SRR6710293,SRR6710294,SRR6710295,SRR6710296,SRR6710297,SRR6710298,SRR6710299,SRR6710300,SRR6710301
ENSG00000129055.10,0,0,33,2,112,2,8,561,0,4,23,111,834,955,0,2,1659,309,2,0,0,0,3,0,0,0,0,0,0,0,0,1037,0,12,0,0,0,0,2,2,0,0,0,0,0,0
ENSG00000182923.14,0,52,0,1174,555,0,4,478,2,0,0,0,904,0,0,0,0,0,41,135,0,0,1517,0,0,0,0,0,36,0,0,1802,0,844,0,0,0,0,2,0,0,0,0,0,4,0
ENSG00000154928.14,0,0,0,0,0,0,0,6,0,0,0,0,0,196,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ENSG00000073711.8,150,2,0,0,0,0,363,160,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000174579.3,50,0,766,8,0,2,4,16,2,26,2,2,6,6,0,4,2,0,36,4,14,10,0,0,1042,0,0,0,0,0,106,0,0,30,0,46,0,0,0,0,2,0,0,0,0,0
ENSG00000114054.11,0,0,0,0,39,7,0,0,153,0,0,0,0,1580,0,0,48,0,1415,0,0,286,7,0,0,4077,82,491,2722,0,0,27,0,0,0,0,0,0,4,665,0,0,0,0,0,0
ENSG00000118007.10,37,32,300,0,0,0,0,286,247,66,526,0,4686,5,0,0,0,8,0,0,497,0,0,4,32,0,0,688,760,0,0,61,3,0,0,106,0,0,0,0,0,0,3,480,8503,0
ENSG00000200571.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252914.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240695.1,0,0,0,0,447,0,0,0,178,0,0,0,2,0,0,0,191,0,2,0,0,0,0,8,0,0,354,0,2,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
ENSG00000168917.8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
ENSG00000273486.1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,2,0,1804,0,80,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239213.3,0,0,0,0,0,0,105,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000158092.4,36,0,0,2,0,0,44,0,0,2,0,0,0,1370,0,0,377,26,6,0,0,21,0,0,0,0,0,929,0,0,0,29,158,14,44,51,0,0,0,0,6,0,0,0,0,0
ENSG00000174564.10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241478.1,8,2,8,0,0,0,2,0,0,4,0,2,6,0,6,6,6,0,2,4,4,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0
ENSG00000138231.10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000114098.15,0,24,0,8,0,0,0,0,1154,0,0,4,0,0,3,142,0,5,0,0,39,4,0,0,26,0,10,1159,0,0,0,8,0,0,0,748,0,0,2,0,0,0,1,0,0,0
ENSG00000181322.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
ENSG00000158186.10,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158220.11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,2,0,0,0,0,0,0,0,0,0,0,6
ENSG00000114107.6,0,0,0,19,9,17,0,0,0,0,138,0,329,0,0,42,100,98,3985,0,0,71,0,0,0,0,0,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
