,SRR6710256,SRR6710257,SRR6710258,SRR6710259,SRR6710260,SRR6710261,SRR6710262,SRR6710263,SRR6710264,SRR6710265,SRR6710266,SRR6710267,SRR6710268,SRR6710269,SRR6710270,SRR6710271,SRR6710272,SRR6710273,SRR6710274,SRR6710275,SRR6710276,SRR6710277,SRR6710278,SRR6710279,SRR6710280,SRR6710281,SRR6710282,SRR6710283,SRR6710284,SRR6710285,SRR6710286,SRR6710287,SRR6710288,SRR6710289,SRR6710290,SRR6710291,SRR6710292,SRR6710293,SRR6710294,SRR6710295,SRR6710296,SRR6710297,SRR6710298,SRR6710299,SRR6710300,SRR6710301
KB-1507C5.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KB-1507C5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KB-1507C5.4,0,0,0,0,0,0,0,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-1517D11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-1568E2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
KB-1582A10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KB-1674E1.1,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-1683C8.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
KB-1742H10.3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
KB-1836B5.1,0,0,0,1,1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KB-1980E6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
KB-1980E6.3,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,926,0,87,0,0,0,0,0,0,0,0,0,0,0,0
KB-208E9.1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-288A10.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406
KB-431C1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-431C1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
KB-67B5.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-68A7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB-7G2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
KBTBD2,1198,0,0,453,0,4,620,89,0,6,0,413,0,545,632,0,0,0,193,2,0,27,3330,0,0,0,0,2,107,6,114,4,0,0,0,20476,0,0,0,0,2,0,0,0,0,0
KBTBD3,190,0,0,0,6,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,10,142,85,0,0,0,0,56,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,2
KBTBD4,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KBTBD6,0,0,0,0,1041,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,148,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KBTBD7,0,0,0,0,63,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,5728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,0,0,0,0,0
KBTBD8,2,50,0,1568,6,0,134,36,0,1118,208,0,16,0,0,0,0,0,0,0,0,0,124,0,0,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
KC6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCMF1,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,41,2,0,0,0,14,0,0,0,2,0,0,0,0,0,28,11794,0,0,0,0,0,0,0,18,0,0,2321,2,2
KCNA3_0,0,317,0,303,0,0,0,372,0,0,2,0,0,0,0,0,0,0,14,102,0,0,0,0,0,0,86,28,2,0,20,0,0,865,0,0,0,0,0,68,0,0,0,2055,0,0
KCNA3_1,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNA5,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNA7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
KCNAB1,0,0,0,0,0,0,0,587,0,0,870,1483,0,18,0,0,0,3,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
KCNAB2,0,18,0,0,0,0,0,0,0,0,156,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,124,153,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
KCNAB3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNC4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1230,0,0,0,0,0,0,2,2,0,0,0,0
KCND1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNE1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
KCNE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
KCNH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH4,0,0,0,0,0,0,0,0,0,41,0,102,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNH5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
KCNJ1,27,0,0,0,4,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
KCNJ13,0,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCNJ14,0,0,0,0,0,0,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
