,SRR6710256,SRR6710257,SRR6710258,SRR6710259,SRR6710260,SRR6710261,SRR6710262,SRR6710263,SRR6710264,SRR6710265,SRR6710266,SRR6710267,SRR6710268,SRR6710269,SRR6710270,SRR6710271,SRR6710272,SRR6710273,SRR6710274,SRR6710275,SRR6710276,SRR6710277,SRR6710278,SRR6710279,SRR6710280,SRR6710281,SRR6710282,SRR6710283,SRR6710284,SRR6710285,SRR6710286,SRR6710287,SRR6710288,SRR6710289,SRR6710290,SRR6710291,SRR6710292,SRR6710293,SRR6710294,SRR6710295,SRR6710296,SRR6710297,SRR6710298,SRR6710299,SRR6710300,SRR6710301
5S_rRNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7SK_0,0,0,0,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7SK_1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1BG,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
A2M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AAAS,0,0,285,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3210,0,4,0,4,0,0,2264,0,0,2,2319,0,0,0,14,0,0,4,0,0,0,0,46,1621,0
AACS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,2,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,2,0,0,9,0,0,0,2,0,0,0
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,0,1920,0,0,0,0,0,0,16,0,0,3,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AAED1,362,0,0,116,0,0,306,0,40,0,206,10,374,18,0,0,396,24,784,230,0,76,0,64,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
AAGAB,138,0,451,221,119,0,0,3,0,6,33,245,0,0,0,0,94,0,0,4,0,0,0,0,0,0,0,0,883,0,0,0,314,0,0,0,0,0,0,659,0,0,0,0,0,1
AAK1,2,16,0,0,0,0,0,0,50,0,0,707,0,0,0,0,7,0,0,0,0,0,0,358,335,0,0,339,0,0,4288,2,0,0,6,0,0,0,5157,0,2,0,2,0,3,0
AAMDC,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1335,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,11,0,0,0,0,0
AAMP,0,879,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,52,0
AANAT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAR2,0,1,0,0,0,2,0,0,0,2,0,0,0,0,90,0,685,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,0,131,0,0,3,0,3,293,0,0,4,9,0,0,1422,0,0,2672,0,0,0,12,0,0,0,0,324,0,2597,0,16,0,4,2,0,0,0,0,0,0,0,0,21,0,4082,0
AARS2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2574,0,0,0,1,0,0,0
AARSD1,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,28,0,0,0,0,0,0,888,0,0,0,189,0
AASDH,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1795,0
AASDHPPT,163,4,339,0,2,4,198,0,732,0,625,8,123,0,24,270,230,150,0,2,0,95,0,45,0,0,4962,620,576,0,4,146,0,0,0,0,0,0,4,870,0,0,0,301,0,0
AASS,0,0,4,0,0,0,0,0,1499,0,0,0,0,0,0,0,0,0,0,0,0,2926,3943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF,0,0,4,0,0,0,0,65,0,327,0,0,0,0,2,359,0,0,0,0,0,0,0,247,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,839,0,0,0,0,0,1245
AB019441.29,0,0,8,2,0,0,2,4,0,0,5,0,4,4,14,2,4,2,2,4,10,4,3,10,10,7,26,8,0,0,28,7,0,4,0,2,0,0,6,3,0,7,0,0,0,2
ABBA01014710.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01017803.1,0,80,2,0,2,0,26,0,2,264,2,486,350,1470,82,136,0,40,48,46,0,6,684,44,134,0,0,0,0,0,20,2964,2,60,544,5,0,2,3727,68,0,0,0,1778,164,0
ABBA01031663.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABBA01031664.1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,22,0,53,0,0,0,0,0,0,0,0,64,0,0,0
ABC14-1080714F14.1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,479,0
ABC7-42391500H16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABC7-42418200C9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0
ABC7-43041300I9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ABCA1,402,0,1896,1972,540,4,0,365,0,1899,0,2540,2,0,0,2,2,414,2114,0,0,56,0,0,0,0,8,423,0,0,0,259,0,346,8,0,0,0,0,0,0,0,2,0,0,0
ABCA10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,25,0,0,0,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
ABCA12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
ABCA13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ABCA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCA3,0,0,0,0,0,0,0,2,0,42,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
ABCA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
ABCA5,6,0,0,0,0,10,0,1,3,0,1185,0,0,126,2,0,2,0,0,0,0,1993,0,798,0,0,0,22,0,0,0,3034,0,730,0,0,0,33,0,0,0,0,5,0,0,0
ABCA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,148,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
ABCA7,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,6,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,2377,0,0
ABCA8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
ABCA9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
ABCB10P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
ABCB10P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0
ABCB11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABCB4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ABCB5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABCB6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCB7,0,0,0,36,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2650,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,2,2121,0,0,0,0,0,3
ABCB8,0,2,0,0,0,0,3,0,0,14,0,0,0,0,0,236,0,0,0,0,3,0,0,0,0,0,58,58,0,0,0,2,0,0,0,0,0,6,53,0,0,0,0,0,0,0
ABCB9,24,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,9,0,0,0,0,2,0,0,0,418,0,0,2,909,0,2,0,0,92,853,0
ABCC1,679,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,10,275,0,1,24,0,0,0,0,4975,0,0,0,0,2,1,60,0,0,0
ABCC10,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1,0,0,0,0,2,2
ABCC11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABCC12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ABCC13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0
ABCC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABCC3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0
ABCC4,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,2,1295,0,2,56,555,1,0,0
ABCC5,0,0,633,0,0,0,14,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0
ABCC6,0,41,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,211,0,0,0
ABCC6P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,519,0,0,0
ABCC8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABCC9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ABCD1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCD1P5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ABCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4706,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0
ABCD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,214,0,0,0,0,0,114,0,2,0,0,0,0
ABCD4,732,1038,0,226,0,4,0,0,0,0,0,3393,0,0,0,0,7,10,0,0,0,3,0,0,0,0,0,0,5050,0,0,0,0,203,73,0,0,0,0,44,0,0,0,0,0,0
ABCE1,0,1,0,2,580,0,2,7,2,20,2,100,93,211,0,3,0,0,2559,3,0,31,0,556,2,0,30,0,2,0,0,0,0,322,0,0,0,0,0,3,1,0,0,2,0,0
ABCF1,453,133,0,1,30,0,94,144,47,15,679,308,2,3,29,31,1970,232,346,129,18,73,131,10,1,96,2,1,226,0,4,241,4,38,1,0,0,0,98,435,0,0,0,0,1207,0
ABCF2,414,4,0,0,0,0,811,0,2,4,18,0,0,114,2,0,18,12,2,22,56,2,0,0,0,3,422,0,14194,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ABCF2P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,0,639,0,0,2,0,0,0,442,1,17,0,8,0,0,0,0,0,0,0,127,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198
ABCG1,146,0,0,0,0,0,0,0,0,16,0,0,0,0,739,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739,0,0,3,0,0,0,2,0,0,0,0,0
ABCG2,0,0,0,0,0,0,0,0,0,15,0,134,0,0,0,43,217,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ABCG5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
ABHD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4994,102,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3
ABHD10,37,4,0,119,0,0,314,0,0,0,0,0,0,0,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,0,1456,0,0,0,0,90,0,0,0,0,0,0,0,0,54,0
ABHD11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,1,12,0,9,1,0,0,0,0,0,0,0,1089,0,0,0,0,0,0
ABHD12,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14A,24,0,4,12,0,0,3,0,0,0,0,0,0,14,0,0,0,27,0,498,0,0,0,0,0,0,36,0,0,0,0,0,0,0,3,0,0,28,0,0,24,0,0,0,0,0
ABHD14B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1034,0,0,0,0,30,0,6,0,0,0,0,0,2,0,0,0,0,0,0
ABHD15,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,0,0,0,0
ABHD15-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,0,0,0,0,1,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
ABHD17AP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD2,0,196,284,27,0,0,1,0,0,403,0,108,0,0,12,0,41,185,654,0,0,0,686,0,0,56,808,36,2,0,2,0,0,414,0,0,0,0,0,91,0,0,0,0,4,2
ABHD3,16,51,0,0,2,0,6,0,0,0,0,0,0,0,0,336,667,0,0,0,0,81,2,0,180,2,0,128,0,0,0,298,0,0,0,5301,0,0,0,74,0,0,0,0,0,6
ABHD4,606,0,0,0,46,0,0,0,0,0,4,130,20,0,0,0,2,14,0,0,0,0,358,0,0,0,0,2316,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0
ABHD5,0,0,2179,88,0,0,0,0,0,1281,0,0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2815,0,0,2,0,0,0,2,0,0,0,0,1
ABHD6,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI1,472,0,0,3,0,3,93,828,2,0,0,0,3207,584,0,0,0,0,0,0,662,1325,0,34,0,228,408,18,0,0,854,0,0,0,5,6,0,0,0,0,2,2,0,0,0,2
ABI2,0,364,0,3,0,0,0,47,0,0,146,0,2038,0,0,11,0,122,0,4,0,111,0,0,0,23,0,0,468,0,2,0,2,0,0,0,0,0,0,0,10,0,0,0,0,2
ABI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,2,0,0,0,0,0,0,0
ABI3BP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,199,0,0,0,0,0
ABL1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,2,0,117,2,9,0,0,0,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,132,0,0,0
ABL2,0,0,0,0,0,0,0,0,588,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1064,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,185,0,0
ABLIM1,0,0,0,0,0,0,0,2,0,0,5487,0,0,0,255,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ABLIM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
ABLIM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0
ABR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
ABRA,0,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABRACL,0,0,356,281,2,0,42,114,0,0,98,0,0,0,110,5,50,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2962,0,3111,0,0,1255,0,0,0,0,2,0,0
ABT1,98,0,0,0,0,0,0,0,177,0,0,0,0,0,0,55,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABTB1,0,0,0,0,6,0,0,0,0,0,0,0,659,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
ABTB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AC000068.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000068.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC000077.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC000089.3,22,10,12,8,4,0,10,10,12,0,51,22,0,38,10,24,14,2,12,12,10,4,8,2,4,2,30,0,0,0,6,16,8,12,4,0,0,2,0,2,0,0,0,0,0,0
AC000123.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,0,0,0,0,0,0,0,0,6339,0,0,0,0,0,4
AC000367.1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,1213,0,2,1074
AC000403.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AC002056.3,0,12,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,4,0,0,2,8,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002059.10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002064.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC002069.5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002075.4,6,2,6,0,6,0,2,4,6,12,12,14,4,4,0,2,10,2,0,10,6,4,8,0,2,2,6,0,2,0,8,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0
AC002117.1,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,0
AC002127.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0
AC002310.10,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002310.17,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
AC002395.1,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002429.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
AC002451.3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002480.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
AC002539.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC002543.2,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,191,0,0,0,8,0,0,0,0,0,0,0,0,0,0
