Sample	posterior	ESS(posterior)	likelihood	prior
0	-127819.56424897851	N	-127793.83704826648	-25.727200712036684
5000	-92017.29963601036	2.0	-92055.59352438121	38.29388837085345
10000	-90599.76939031301	3.0	-90642.00518987885	42.23579956584554
15000	-90213.16498343805	4.0	-90257.35054008417	44.18555664611697
20000	-90070.72165073514	5.0	-90118.08364237398	47.36199163883627
25000	-89881.93840775422	6.0	-89932.41768747866	50.47927972443929
30000	-89691.58847317853	7.0	-89742.14078925388	50.552316075357986
35000	-89418.20325420347	7.9	-89469.0726906112	50.86943640771865
40000	-89325.241756196	8.5	-89380.55598370057	55.31422750457226
45000	-89093.39779483814	3.6	-89155.3690299762	61.97123513805992
50000	-88989.69797262763	3.4	-89048.46535940089	58.76738677324839
55000	-88962.69591780868	3.2	-89022.21213061953	59.5162128108558
60000	-88842.14535714481	3.2	-88902.11983928528	59.97448214047747
65000	-88726.7309372608	3.1	-88787.20608019024	60.47514292944469
70000	-88626.84556224575	3.2	-88686.57883464516	59.73327239940658
75000	-88580.45298644228	3.2	-88641.89516624101	61.442179798736085
80000	-88461.68885564274	3.2	-88524.0185454404	62.32968979764827
85000	-88421.91787339984	3.1	-88482.32813596567	60.410262565820254
90000	-88415.27711722458	3.1	-88478.54631646661	63.269199242023674
95000	-88397.38817769091	2.6	-88462.83427877346	65.44610108254358
100000	-88397.9040505026	2.6	-88463.27449017877	65.37043967615918
105000	-88394.74932327932	2.7	-88460.78444098303	66.03511770371351
110000	-88396.0891080797	2.7	-88461.60612176442	65.51701368471326
115000	-88391.83402121632	2.8	-88456.80413791594	64.97011669962609
120000	-88396.13910405668	2.8	-88459.83804719026	63.69894313358652
125000	-88335.80685673335	2.8	-88399.34748864152	63.54063190816734
130000	-88346.48657546131	2.9	-88407.7012135492	61.214638087880104
135000	-88330.46894343624	2.9	-88391.00756717562	60.53862373937819
140000	-88334.97607507343	3.0	-88391.8338146734	56.85773959997325
145000	-88277.03738382037	3.0	-88337.93224214863	60.894858328265954
150000	-88266.81995181317	3.1	-88325.9474392231	59.127487409937096
155000	-88285.3612390292	3.2	-88345.28555058953	59.92431156032718
160000	-88235.97145468168	3.2	-88302.0778781129	66.10642343122663
165000	-88181.4806415262	3.3	-88249.51994632011	68.03930479390996
170000	-88163.94579988177	3.3	-88227.51530834947	63.56950846770043
175000	-88172.17341842728	3.4	-88238.00789193467	65.83447350738537
180000	-88160.98871498366	3.4	-88224.88604316265	63.89732817899028
185000	-88098.05887961494	3.5	-88160.77030735783	62.71142774289732
190000	-88100.3311189545	3.5	-88163.80092883835	63.46980988384887
195000	-88077.68784622538	3.7	-88141.44362846231	63.75578223692958
200000	-88080.44666490516	3.7	-88139.21929767058	58.77263276541848
205000	-88078.90203509988	3.7	-88139.34508703844	60.44305193856838
210000	-88056.83876258427	3.7	-88118.4724724869	61.6337099026216
215000	-88050.71149462061	3.8	-88112.86079426193	62.14929964131703
220000	-88049.80371050019	3.8	-88109.30329658769	59.49958608750265
225000	-88048.8949808905	3.8	-88111.93539270016	63.040411809669784
230000	-88051.88627053954	3.8	-88115.33605682978	63.44978629023308
235000	-88059.45520261065	3.8	-88124.00499649352	64.54979388285994
240000	-88031.5238922736	3.8	-88096.73043510669	65.20654283308444
245000	-88052.59326282627	3.7	-88117.65422740823	65.06096458197054
250000	-88035.62412473033	3.7	-88104.17843197686	68.55430724653806
255000	-87993.67587986968	3.7	-88060.34967232395	66.67379245426885
260000	-87946.34705539535	3.7	-88011.90873069843	65.56167530307681
265000	-87928.59498549602	3.7	-87993.82346655126	65.228481055241
270000	-87936.82413136796	3.7	-88002.79180178762	65.96767041965748
275000	-87924.03450317646	3.7	-87992.0338745274	67.99937135094304
280000	-87935.11497579713	3.7	-88000.2279171483	65.11294135116563
285000	-87908.41099629324	3.7	-87971.69567667884	63.284680385591635
290000	-87874.13972025036	3.7	-87943.07849949639	68.93877924603058
295000	-87874.77676856078	3.5	-87938.73755157202	63.96078301124313
300000	-87896.72397553865	3.5	-87963.69052060976	66.9665450711078
305000	-87872.14382317236	3.5	-87940.50538956268	68.3615663903176
310000	-87871.59781614125	3.5	-87940.65922359955	69.06140745829836
315000	-87866.53732503098	3.4	-87935.45718979124	68.91986476026759
320000	-87871.91134919555	3.4	-87942.56926060673	70.65791141117604
325000	-87865.63846586658	3.4	-87936.43072859703	70.79226273045067
330000	-87901.09454982336	3.4	-87972.21663483314	71.12208500977088
335000	-87855.22255552371	3.4	-87928.75338094638	73.53082542266786
340000	-87853.74443843769	3.4	-87929.02353648735	75.27909804966345
345000	-87825.45243118465	3.3	-87897.76579559104	72.31336440638877
350000	-87816.70459633916	3.3	-87889.867356181	73.16275984183729
355000	-87823.63255113686	3.2	-87895.38303594118	71.75048480432261
360000	-87805.60830236466	3.2	-87880.66191827266	75.0536159079887
365000	-87816.23820391194	3.2	-87885.81451210276	69.57630819082846
370000	-87814.66681497607	3.2	-87887.00986219558	72.34304721952273
375000	-87802.56802379868	3.2	-87872.58869881967	70.02067502099783
380000	-87794.10952316188	3.2	-87866.86864995722	72.75912679534345
385000	-87752.60797632608	3.2	-87820.65619323729	68.04821691121445
390000	-87736.2380695209	3.2	-87806.46426959048	70.22620006957521
