Cell	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10
Cell1	Cell69	Cell71	Cell94	Cell107	Cell102	Cell66	Cell91	Cell68	Cell72	Cell85
Cell10	Cell68	Cell69	Cell110	Cell102	Cell124	Cell107	Cell84	Cell94	Cell105	Cell83
Cell100	Cell112	Cell69	Cell93	Cell95	Cell106	Cell71	Cell94	Cell102	Cell68	Cell77
Cell101	Cell69	Cell112	Cell77	Cell110	Cell106	Cell107	Cell93	Cell68	Cell94	Cell95
Cell102	Cell112	Cell69	Cell71	Cell68	Cell77	Cell94	Cell93	Cell95	Cell107	Cell106
Cell103	Cell102	Cell69	Cell112	Cell126	Cell93	Cell100	Cell76	Cell108	Cell71	Cell106
Cell104	Cell69	Cell112	Cell107	Cell68	Cell76	Cell77	Cell71	Cell94	Cell91	Cell102
Cell105	Cell69	Cell112	Cell95	Cell68	Cell77	Cell94	Cell71	Cell110	Cell126	Cell116
Cell106	Cell69	Cell112	Cell77	Cell68	Cell94	Cell95	Cell93	Cell76	Cell71	Cell116
Cell107	Cell112	Cell69	Cell94	Cell93	Cell77	Cell91	Cell116	Cell95	Cell102	Cell106
Cell108	Cell112	Cell69	Cell95	Cell77	Cell71	Cell68	Cell110	Cell106	Cell107	Cell94
Cell109	Cell112	Cell95	Cell69	Cell77	Cell110	Cell93	Cell71	Cell102	Cell91	Cell68
Cell11	Cell69	Cell84	Cell94	Cell68	Cell66	Cell95	Cell15	Cell90	Cell124	Cell101
Cell110	Cell112	Cell95	Cell77	Cell69	Cell68	Cell71	Cell76	Cell94	Cell85	Cell106
Cell111	Cell112	Cell77	Cell69	Cell95	Cell71	Cell91	Cell94	Cell68	Cell93	Cell106
Cell112	Cell77	Cell69	Cell95	Cell110	Cell68	Cell94	Cell102	Cell107	Cell116	Cell106
Cell113	Cell53	Cell37	Cell62	Cell50	Cell48	Cell39	Cell28	Cell60	Cell121	Cell8
Cell114	Cell112	Cell69	Cell93	Cell77	Cell68	Cell91	Cell95	Cell107	Cell71	Cell106
Cell115	Cell77	Cell112	Cell102	Cell94	Cell110	Cell69	Cell106	Cell71	Cell68	Cell95
Cell116	Cell112	Cell95	Cell77	Cell69	Cell94	Cell68	Cell107	Cell93	Cell76	Cell106
Cell117	Cell112	Cell102	Cell106	Cell94	Cell77	Cell69	Cell110	Cell124	Cell76	Cell93
Cell118	Cell112	Cell95	Cell77	Cell69	Cell76	Cell68	Cell94	Cell93	Cell110	Cell71
Cell119	Cell93	Cell112	Cell77	Cell102	Cell94	Cell91	Cell69	Cell71	Cell76	Cell95
Cell12	Cell69	Cell66	Cell77	Cell91	Cell112	Cell94	Cell101	Cell93	Cell68	Cell85
Cell120	Cell69	Cell68	Cell102	Cell112	Cell93	Cell94	Cell77	Cell126	Cell95	Cell71
Cell121	Cell95	Cell69	Cell112	Cell78	Cell94	Cell68	Cell72	Cell91	Cell110	Cell71
Cell122	Cell107	Cell69	Cell112	Cell68	Cell95	Cell94	Cell93	Cell77	Cell116	Cell71
Cell123	Cell112	Cell77	Cell69	Cell91	Cell94	Cell107	Cell95	Cell106	Cell71	Cell90
Cell124	Cell112	Cell69	Cell77	Cell95	Cell94	Cell116	Cell71	Cell110	Cell68	Cell76
Cell125	Cell112	Cell69	Cell77	Cell93	Cell68	Cell95	Cell110	Cell102	Cell106	Cell94
Cell126	Cell112	Cell77	Cell69	Cell95	Cell71	Cell116	Cell94	Cell93	Cell68	Cell102
Cell127	Cell110	Cell77	Cell112	Cell95	Cell69	Cell124	Cell71	Cell78	Cell114	Cell87
Cell13	Cell69	Cell68	Cell77	Cell66	Cell88	Cell107	Cell99	Cell108	Cell87	Cell71
Cell14	Cell69	Cell112	Cell71	Cell101	Cell100	Cell87	Cell107	Cell85	Cell93	Cell38
Cell15	Cell93	Cell69	Cell112	Cell101	Cell94	Cell102	Cell71	Cell95	Cell107	Cell68
Cell16	Cell93	Cell69	Cell94	Cell71	Cell112	Cell107	Cell77	Cell66	Cell68	Cell76
Cell17	Cell71	Cell69	Cell68	Cell112	Cell77	Cell124	Cell110	Cell91	Cell66	Cell83
Cell18	Cell93	Cell69	Cell66	Cell101	Cell77	Cell72	Cell46	Cell32	Cell90	Cell102
Cell19	Cell69	Cell77	Cell93	Cell95	Cell112	Cell71	Cell68	Cell107	Cell94	Cell110
Cell2	Cell69	Cell107	Cell93	Cell94	Cell112	Cell71	Cell77	Cell102	Cell32	Cell126
Cell20	Cell72	Cell69	Cell107	Cell71	Cell112	Cell93	Cell77	Cell68	Cell83	Cell87
Cell21	Cell69	Cell68	Cell108	Cell107	Cell93	Cell110	Cell112	Cell94	Cell1	Cell32
Cell22	Cell69	Cell112	Cell107	Cell68	Cell66	Cell71	Cell94	Cell100	Cell93	Cell77
Cell23	Cell112	Cell68	Cell69	Cell77	Cell71	Cell95	Cell101	Cell107	Cell83	Cell93
Cell24	Cell69	Cell102	Cell107	Cell71	Cell94	Cell99	Cell112	Cell106	Cell72	Cell77
Cell25	Cell100	Cell15	Cell93	Cell71	Cell72	Cell32	Cell107	Cell66	Cell102	Cell112
Cell26	Cell107	Cell69	Cell71	Cell77	Cell93	Cell68	Cell91	Cell66	Cell101	Cell83
Cell27	Cell46	Cell107	Cell66	Cell122	Cell112	Cell34	Cell15	Cell94	Cell38	Cell1
Cell28	Cell44	Cell1	Cell69	Cell102	Cell120	Cell6	Cell93	Cell52	Cell15	Cell87
Cell29	Cell68	Cell108	Cell69	Cell71	Cell112	Cell107	Cell72	Cell66	Cell93	Cell125
Cell3	Cell69	Cell52	Cell32	Cell68	Cell26	Cell107	Cell112	Cell94	Cell72	Cell99
Cell30	Cell69	Cell101	Cell71	Cell126	Cell100	Cell93	Cell77	Cell112	Cell102	Cell66
Cell31	Cell69	Cell68	Cell26	Cell94	Cell34	Cell107	Cell93	Cell89	Cell111	Cell91
Cell32	Cell69	Cell68	Cell93	Cell94	Cell107	Cell126	Cell112	Cell102	Cell95	Cell71
Cell33	Cell71	Cell69	Cell88	Cell94	Cell68	Cell101	Cell72	Cell77	Cell107	Cell93
Cell34	Cell69	Cell68	Cell71	Cell77	Cell112	Cell94	Cell91	Cell95	Cell107	Cell83
Cell35	Cell15	Cell94	Cell52	Cell34	Cell126	Cell120	Cell85	Cell77	Cell66	Cell99
Cell36	Cell93	Cell69	Cell71	Cell1	Cell32	Cell91	Cell15	Cell7	Cell94	Cell100
Cell37	Cell61	Cell12	Cell120	Cell7	Cell30	Cell15	Cell1	Cell91	Cell60	Cell8
Cell38	Cell69	Cell71	Cell106	Cell68	Cell95	Cell94	Cell77	Cell93	Cell87	Cell112
Cell39	Cell26	Cell69	Cell32	Cell33	Cell15	Cell122	Cell7	Cell93	Cell74	Cell16
Cell4	Cell34	Cell15	Cell100	Cell32	Cell69	Cell26	Cell30	Cell54	Cell1	Cell52
Cell40	Cell69	Cell99	Cell107	Cell95	Cell94	Cell71	Cell110	Cell66	Cell91	Cell114
Cell41	Cell95	Cell69	Cell94	Cell112	Cell68	Cell77	Cell72	Cell83	Cell93	Cell99
Cell42	Cell112	Cell71	Cell91	Cell69	Cell77	Cell66	Cell72	Cell107	Cell68	Cell83
Cell43	Cell69	Cell77	Cell94	Cell101	Cell87	Cell72	Cell68	Cell112	Cell83	Cell95
Cell44	Cell68	Cell69	Cell101	Cell77	Cell102	Cell93	Cell105	Cell94	Cell126	Cell106
Cell45	Cell93	Cell100	Cell112	Cell69	Cell68	Cell124	Cell71	Cell102	Cell106	Cell108
Cell46	Cell69	Cell68	Cell95	Cell112	Cell66	Cell77	Cell107	Cell85	Cell71	Cell91
