Cell	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10
Cell47	Cell112	Cell77	Cell94	Cell69	Cell72	Cell83	Cell68	Cell87	Cell93	Cell111
Cell48	Cell112	Cell46	Cell93	Cell16	Cell94	Cell69	Cell95	Cell83	Cell68	Cell100
Cell49	Cell102	Cell69	Cell71	Cell93	Cell66	Cell107	Cell101	Cell100	Cell124	Cell94
Cell5	Cell107	Cell77	Cell69	Cell71	Cell68	Cell94	Cell99	Cell72	Cell101	Cell83
Cell50	Cell105	Cell77	Cell109	Cell87	Cell110	Cell112	Cell68	Cell94	Cell122	Cell107
Cell51	Cell77	Cell102	Cell87	Cell68	Cell15	Cell1	Cell94	Cell72	Cell26	Cell88
Cell52	Cell69	Cell93	Cell66	Cell71	Cell68	Cell112	Cell94	Cell107	Cell126	Cell101
Cell53	Cell57	Cell37	Cell20	Cell14	Cell33	Cell50	Cell31	Cell8	Cell45	Cell36
Cell54	Cell77	Cell66	Cell105	Cell69	Cell93	Cell32	Cell126	Cell85	Cell112	Cell68
Cell55	Cell68	Cell66	Cell77	Cell1	Cell34	Cell26	Cell69	Cell91	Cell85	Cell93
Cell56	Cell94	Cell71	Cell112	Cell83	Cell69	Cell93	Cell68	Cell95	Cell66	Cell126
Cell57	Cell102	Cell46	Cell10	Cell112	Cell22	Cell93	Cell108	Cell69	Cell15	Cell75
Cell58	Cell46	Cell71	Cell122	Cell66	Cell77	Cell94	Cell72	Cell1	Cell83	Cell95
Cell59	Cell34	Cell52	Cell69	Cell93	Cell112	Cell15	Cell71	Cell44	Cell68	Cell104
Cell6	Cell91	Cell93	Cell126	Cell94	Cell69	Cell66	Cell95	Cell101	Cell68	Cell102
Cell60	Cell71	Cell1	Cell69	Cell91	Cell88	Cell93	Cell7	Cell34	Cell112	Cell108
Cell61	Cell69	Cell93	Cell71	Cell91	Cell77	Cell94	Cell72	Cell112	Cell68	Cell88
Cell62	Cell19	Cell69	Cell42	Cell112	Cell10	Cell1	Cell43	Cell16	Cell90	Cell41
Cell63	Cell68	Cell107	Cell77	Cell99	Cell112	Cell69	Cell94	Cell83	Cell93	Cell95
Cell64	Cell69	Cell71	Cell94	Cell93	Cell112	Cell68	Cell83	Cell85	Cell77	Cell66
Cell65	Cell107	Cell69	Cell94	Cell100	Cell26	Cell72	Cell71	Cell32	Cell91	Cell106
Cell66	Cell69	Cell112	Cell77	Cell94	Cell95	Cell71	Cell107	Cell93	Cell102	Cell91
Cell67	Cell112	Cell102	Cell68	Cell71	Cell94	Cell69	Cell106	Cell93	Cell95	Cell110
Cell68	Cell69	Cell112	Cell77	Cell95	Cell106	Cell93	Cell71	Cell110	Cell102	Cell94
Cell69	Cell112	Cell68	Cell106	Cell94	Cell77	Cell71	Cell95	Cell102	Cell93	Cell91
Cell7	Cell69	Cell68	Cell112	Cell102	Cell77	Cell94	Cell107	Cell71	Cell66	Cell91
Cell70	Cell69	Cell95	Cell112	Cell68	Cell116	Cell106	Cell77	Cell126	Cell71	Cell94
Cell71	Cell69	Cell112	Cell102	Cell68	Cell77	Cell95	Cell94	Cell110	Cell93	Cell76
Cell72	Cell112	Cell77	Cell69	Cell71	Cell95	Cell94	Cell102	Cell68	Cell93	Cell116
Cell73	Cell112	Cell69	Cell95	Cell94	Cell93	Cell68	Cell102	Cell107	Cell77	Cell116
Cell74	Cell93	Cell112	Cell102	Cell76	Cell83	Cell69	Cell116	Cell77	Cell126	Cell91
Cell75	Cell112	Cell95	Cell69	Cell77	Cell68	Cell106	Cell107	Cell116	Cell93	Cell91
Cell76	Cell77	Cell69	Cell95	Cell112	Cell94	Cell110	Cell106	Cell71	Cell116	Cell93
Cell77	Cell112	Cell95	Cell68	Cell69	Cell94	Cell110	Cell106	Cell76	Cell71	Cell116
Cell78	Cell112	Cell95	Cell69	Cell77	Cell124	Cell110	Cell107	Cell91	Cell72	Cell93
Cell79	Cell95	Cell77	Cell85	Cell112	Cell68	Cell69	Cell110	Cell94	Cell71	Cell91
Cell8	Cell124	Cell116	Cell77	Cell95	Cell105	Cell83	Cell94	Cell106	Cell102	Cell76
Cell80	Cell69	Cell91	Cell112	Cell95	Cell108	Cell77	Cell94	Cell110	Cell68	Cell107
Cell81	Cell112	Cell77	Cell69	Cell94	Cell95	Cell106	Cell71	Cell76	Cell68	Cell91
Cell82	Cell112	Cell77	Cell116	Cell69	Cell106	Cell95	Cell110	Cell126	Cell124	Cell94
Cell83	Cell95	Cell112	Cell69	Cell77	Cell93	Cell68	Cell110	Cell94	Cell76	Cell107
Cell84	Cell112	Cell94	Cell76	Cell71	Cell77	Cell69	Cell93	Cell116	Cell85	Cell72
Cell85	Cell112	Cell95	Cell77	Cell116	Cell110	Cell69	Cell107	Cell71	Cell68	Cell106
Cell86	Cell77	Cell71	Cell69	Cell95	Cell112	Cell126	Cell106	Cell94	Cell72	Cell108
Cell87	Cell112	Cell69	Cell95	Cell77	Cell106	Cell94	Cell116	Cell110	Cell68	Cell93
Cell88	Cell112	Cell69	Cell77	Cell95	Cell91	Cell116	Cell94	Cell72	Cell93	Cell106
Cell89	Cell77	Cell112	Cell95	Cell91	Cell93	Cell69	Cell94	Cell71	Cell102	Cell116
Cell9	Cell68	Cell85	Cell77	Cell91	Cell94	Cell112	Cell107	Cell110	Cell69	Cell72
Cell90	Cell112	Cell94	Cell69	Cell77	Cell95	Cell110	Cell102	Cell106	Cell93	Cell76
Cell91	Cell112	Cell69	Cell95	Cell94	Cell107	Cell77	Cell93	Cell106	Cell68	Cell110
Cell92	Cell71	Cell110	Cell77	Cell112	Cell69	Cell94	Cell101	Cell95	Cell106	Cell108
Cell93	Cell95	Cell112	Cell69	Cell68	Cell106	Cell107	Cell94	Cell71	Cell116	Cell102
Cell94	Cell112	Cell69	Cell77	Cell95	Cell106	Cell71	Cell107	Cell91	Cell93	Cell68
Cell95	Cell77	Cell112	Cell110	Cell69	Cell68	Cell93	Cell83	Cell94	Cell116	Cell106
Cell96	Cell112	Cell93	Cell69	Cell77	Cell106	Cell107	Cell76	Cell126	Cell94	Cell68
Cell97	Cell94	Cell69	Cell77	Cell106	Cell112	Cell107	Cell95	Cell93	Cell91	Cell71
Cell98	Cell94	Cell77	Cell112	Cell69	Cell95	Cell68	Cell106	Cell71	Cell76	Cell116
Cell99	Cell69	Cell112	Cell77	Cell71	Cell76	Cell107	Cell91	Cell126	Cell94	Cell93
